species,country,sum_gsv_scaled
Alectis alexandrina,Croatia,1.4699009718314078
Alectis alexandrina,Cyprus,NA
Alectis alexandrina,Egypt,NA
Alectis alexandrina,France,NA
Alectis alexandrina,Georgia,3.7808429861791213
Alectis alexandrina,Greece,0.5049710441143863
Alectis alexandrina,Israel,1.8284381893362196
Alectis alexandrina,Italy,0.0988415187387662
Alectis alexandrina,Lebanon,3.075177717770196
Alectis alexandrina,Libya,NA
Alectis alexandrina,Malta,32.50479574673596
Alectis alexandrina,Monaco,100
Alectis alexandrina,Montenegro,27.342712746213788
Alectis alexandrina,Morocco,0.9219720513205002
Alectis alexandrina,Romania,NA
Alectis alexandrina,Russia,NA
Alectis alexandrina,Slovenia,2.865488703601909
Alectis alexandrina,Spain,NA
Alectis alexandrina,Syria,NA
Alectis alexandrina,Tunisia,NA
Alectis alexandrina,Turkey,NA
Alectis alexandrina,Ukraine,0.2787630055171765
Alepes djedaba,Albania,NA
Alepes djedaba,Algeria,11.372185145302929
Alepes djedaba,Bosnia and Herzegovina,8.857933456625142
Alepes djedaba,Bulgaria,NA
Alepes djedaba,Croatia,NA
Alepes djedaba,Cyprus,7.098511244632371
Alepes djedaba,Egypt,0.47534788211101486
Alepes djedaba,France,NA
Alepes djedaba,Georgia,NA
Alepes djedaba,Greece,NA
Alepes djedaba,Israel,0.8355897575703456
Alepes djedaba,Italy,0.18889566656442477
Alepes djedaba,Lebanon,6.372413692355873
Alepes djedaba,Libya,100
Alepes djedaba,Malta,NA
Alepes djedaba,Monaco,NA
Alepes djedaba,Montenegro,NA
Alepes djedaba,Morocco,24.05947253453234
Alepes djedaba,Romania,0.8211800121869183
Alepes djedaba,Russia,NA
Alepes djedaba,Slovenia,NA
Alepes djedaba,Spain,NA
Alepes djedaba,Syria,9.092724146672213
Alepes djedaba,Tunisia,9.44414927936457
Alepes djedaba,Turkey,0.15109712742449688
Alepes djedaba,Ukraine,NA
Alepisaurus ferox,Albania,NA
Alepisaurus ferox,Algeria,7.651387381610728
Alepisaurus ferox,Bosnia and Herzegovina,22.584917679370832
Alepisaurus ferox,Bulgaria,NA
Alepisaurus ferox,Croatia,10.13051482566961
Alepisaurus ferox,Cyprus,NA
Alepisaurus ferox,Egypt,1.7022328903968047
Alepisaurus ferox,France,0.34922792221883786
Alepisaurus ferox,Georgia,NA
Alepisaurus ferox,Greece,NA
Alepisaurus ferox,Israel,NA
Alepisaurus ferox,Italy,9.279253283883394
Alepisaurus ferox,Lebanon,NA
Alepisaurus ferox,Libya,100
Alepisaurus ferox,Malta,78.92532603860136
Alepisaurus ferox,Monaco,NA
Alepisaurus ferox,Montenegro,75.52913201717588
Alepisaurus ferox,Morocco,7.9065043361053675
Alepisaurus ferox,Romania,8.357689525023636
